NAME,Crop,Year,AW,Total_Land ,TW
Glenn,Alfalfa,2007,5.01,12955,64883.16255
Sacramento,Alfalfa,2012,4.02,12717,51122.34
Sacramento,Alfalfa,2005,4.67,12626,58988.875
Mono,Alfalfa,2006,5.84,12604,73592.13501
San Bernardino,Alfalfa,2015,6.85,12590,86241.5
Glenn,Alfalfa,2001,4.53,12500,56596.23831
Colusa,Alfalfa,2011,2.80047734627832,12360,34613.9
Glenn,Alfalfa,2004,5.1,12347,62924.56635
Mono,Alfalfa,2005,5.26,12148,63882.11591
Riverside,Alfalfa,2010,6.64,12140,80589.61867
Mono,Alfalfa,2010,6.25,12072,75495.80802
Yolo,Alfalfa,2010,4.62,11969,55327.51885
Glenn,Alfalfa,2000,4.22,11800,49825.956
Mono,Alfalfa,2004,6.13,11619,71221.76894
Mono,Alfalfa,2003,5.95,11319,67401.53992
Glenn,Alfalfa,1999,5.11,11200,57270.73963
Mono,Alfalfa,2001,5.5,11200,61621.33333
Colusa,Alfalfa,2013,3.73,11135,41533.55
Mono,Alfalfa,2002,6.44,11123,71650.71528
Glenn,Alfalfa,2013,4.21,11042,46486.82
Glenn,Alfalfa,2012,3.71,11012,40854.52
Glenn,Alfalfa,2011,3.14145560407569,10992,34530.88
Mono,Alfalfa,2000,5.76,10990,63291.72414
Glenn,Alfalfa,2015,4.16,10753,44732.48
Yuba,Alfalfa,2010,4.37,10645,46531.17353
Solano,Alfalfa,2009,5.87,10519,61700.32829
Sacramento,Alfalfa,2003,5.4,10179,55017.06301
Mono,Alfalfa,1998,4.36,10020,43709.26108
Colusa,Alfalfa,2005,4.22,9998,42175.09033
Sutter,Alfalfa,2009,5.01,9940,49801.38878
Mono,Alfalfa,1999,5.01,9700,48637.93103
Colusa,Alfalfa,2014,3.41,9484,32340.44
Sacramento,Alfalfa,2004,5.69,9358,53217.01471
Shasta,Alfalfa,2015,3.04,9326,28351.04
Glenn,Alfalfa,2014,3.85,9264,35666.4
Sacramento,Alfalfa,2008,6.44,9240,59478.14971
Mono,Alfalfa,2011,5.1,9100,46410
Mono,Alfalfa,2012,5.32,9060,48199.2
Mono,Alfalfa,2015,5.36,9010,48293.6
Colusa,Alfalfa,2004,4,8934,35724.34696
Mono,Alfalfa,2013,8.05,8920,71806
Mono,Alfalfa,2014,7.27,8870,64484.9
Shasta,Alfalfa,2013,3,8687,26061
Glenn,Alfalfa,2005,3.93,8551,33569.7026
Colusa,Alfalfa,2003,4.16,8441,35146.19192
Shasta,Alfalfa,2014,3.17,8432,26729.44
Colusa,Alfalfa,2015,4.29,8394,36010.26
Shasta,Alfalfa,2011,2.30034953846154,8125,18690.34
