Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",43,Mariposa,,,,,,53800,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",57,Nevada,,,,,,313000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",61,Placer,,,,,,512000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",67,Sacramento,,,,,,1330000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",71,San Bernardino,,,,,,2322000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",73,San Diego,,,,,,651000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",77,San Joaquin,,,,,,882000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",83,Santa Barbara,,,,,,735000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",85,Santa Clara,,,,,,294000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",89,Shasta,,,,,,1041000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",95,Solano,,,,,,910000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",97,Sonoma,,,,,,337000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",103,Tehama,,,,,,12722000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",109,Tuolumne,,,,,,34200,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",113,Yolo,,,,,,21173000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",998,Sum of Others,,,,,,1073000,,,,,
2022,489999,"Apiary Products, Bees, Unspecified",999,State Total,,,,,,52486900,,,,,
2022,486999,"Apiary Products, Pollination Fees",7,Butte,,,,,,15454000,,,,,
2022,486999,"Apiary Products, Pollination Fees",11,Colusa,,,111000,214.60,Colonies,23821000,,,,,
2022,486999,"Apiary Products, Pollination Fees",19,Fresno,,,,,,122533000,,,,,
2022,486999,"Apiary Products, Pollination Fees",21,Glenn,,,,,,27708000,,,,,
2022,486999,"Apiary Products, Pollination Fees",25,Imperial,,,67100,74.05,Colonies,4969000,,,,,
2022,486999,"Apiary Products, Pollination Fees",29,Kern,,,471000,185.56,Colonies,87401000,,,,,
2022,486999,"Apiary Products, Pollination Fees",31,Kings,,,101000,186.99,Colonies,18886000,,,,,
2022,486999,"Apiary Products, Pollination Fees",39,Madera,,,320000,209.00,Colonies,66880000,,,,,
2022,486999,"Apiary Products, Pollination Fees",47,Merced,,,261000,215.15,Colonies,56155000,,,,,
2022,486999,"Apiary Products, Pollination Fees",53,Monterey,,,3300,65.15,Colonies,215000,,,,,
2022,486999,"Apiary Products, Pollination Fees",65,Riverside,,,25000,191.00,Colonies,4775000,,,,,
2022,486999,"Apiary Products, Pollination Fees",73,San Diego,,,,,,2586000,,,,,
2022,486999,"Apiary Products, Pollination Fees",77,San Joaquin,,,218000,191.80,Colonies,41812000,,,,,
2022,486999,"Apiary Products, Pollination Fees",89,Shasta,,,9000,203.67,Colonies,1833000,,,,,
