Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
1998,161742,Dry Beans,999, State Totals,701,0.33,228,640,    ,156000,,,,,
1998,161717,Dry Beans,77,San Joaquin ,8300,0.75,6200,613,TONS ,3803000,,,,,
1998,161717,Dry Beans,999, State Totals,8300,0.75,6200,613,    ,3803000,,,,,
1998,161132,Truck Crops,99,Stanislaus ,5100,1.20,6120,679,TONS ,4155000,,,,,
1998,161132,Truck Crops,101,Sutter ,1455,0.89,1295,798,TONS ,1032800,,,,,
1998,161132,Truck Crops,999, State Totals,6555,1.13,7415,700,    ,5187800,,,,,
1998,303999,Dry Beans,47,Merced ,2561,1.62,4156,459,TONS ,1908000,,,,,
1998,303999,Dry Beans,99,Stanislaus ,5581,1.32,7370,450,TONS ,3317000,,,,,
1998,303999,Dry Beans,991,Sum of Others ,1045,  ,  ,  ,  ,663100,,,,,
1998,303999,Dry Beans,999, State Totals,9187,1.42,11526,453,    ,5888100,,,,,
1998,161131,Dry Beans,53,Monterey ,1004,0.81,815,1200,TONS ,978000,,,,,
1998,161131,Dry Beans,99,Stanislaus ,5900,0.85,5020,978,TONS ,4910000,,,,,
1998,161131,Dry Beans,999, State Totals,6904,0.85,5835,1009,    ,5888000,,,,,
1998,161199,Dry Beans,47,Merced ,1467,0.81,1188,960,TONS ,1140000,,,,,
1998,161199,Dry Beans,77,San Joaquin ,12000,0.84,10100,713,TONS ,7206000,,,,,
1998,161199,Dry Beans,83,Santa Barbara ,3277,0.63,2056,1201,TONS ,2468400,,,,,
1998,161199,Dry Beans,111,Ventura ,3030,4.18,12654,617,TONS ,7808000,,,,,
1998,161199,Dry Beans,991,Sum of Others ,208,  ,  ,  ,  ,103200,,,,,
1998,161199,Dry Beans,999, State Totals,19982,1.31,25998,716,    ,18725600,,,,,
1998,161721,Dry Beans,101,Sutter ,2662,0.84,2236,465,TONS ,1040800,,,,,
1998,161721,Dry Beans,999, State Totals,2662,0.84,2236,465,    ,1040800,,,,,
