County,Crop,Year,AW (acre-ft/acre),Total Land (Irrigated Crop Area in acres),AW,,,,,,,,,,,,,,,,,,
Madera ,Tomato Processing,1998,2.93,700,2050,,,,,,,,,,,,,,,,,,
Madera ,Tomato Fresh,1998,2.05,300,616.4383562,,,,,,,,,,,,,,,,,,
Madera ,Cucurbits,1998,2.06,1100,2264.705882,,,,,,,,,,,,,,,,,,
Madera ,Onions & Garlic,1998,3.29,1800,5921.052632,,,,,,,,,,,,,,,,,,
Madera ,Potatoes,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Madera ,Truck Crops,1998,1.20,1000,1195.774274,,,,,,,,,,,,,,,,,,
Madera , Almonds & Pistachios,1998,2.52,69000,174211.1267,,,,,,,,,,,,,,,,,,
Madera , Other Deciduous,1998,2.55,18700,47725.03516,,,,,,,,,,,,,,,,,,
Madera , Citrus & Subtropical,1998,1.86,5400,10062.80702,,,,,,,,,,,,,,,,,,
Madera ,Vineyard,1998,1.42,94000,133629.7787,,,,,,,,,,,,,,,,,,
Marin,Grain,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Rice,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Cotton,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Sugar Beets,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Corn,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Dry Beans,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Safflower,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Other Field,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Alfalfa,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Pasture,1998,3.56,1500,5338.235294,,,,,,,,,,,,,,,,,,
Marin,Tomato Processing,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Tomato Fresh,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Cucurbits,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Onions & Garlic,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Potatoes,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin,Truck Crops,1998,2.50,100,250,,,,,,,,,,,,,,,,,,
Marin, Almonds & Pistachios,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin, Other Deciduous,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Marin, Citrus & Subtropical,1998,2.03,100,202.7027027,,,,,,,,,,,,,,,,,,
Marin,Vineyard,1998,1.13,100,112.5,,,,,,,,,,,,,,,,,,
Mariposa,Grain,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Rice,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Cotton,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Sugar Beets,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Corn,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Dry Beans,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Safflower,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Other Field,1998,1.61,700,1125,,,,,,,,,,,,,,,,,,
Mariposa,Alfalfa,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Pasture,1998,3.33,500,1666.666667,,,,,,,,,,,,,,,,,,
Mariposa,Tomato Processing,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Tomato Fresh,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Cucurbits,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Onions & Garlic,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Potatoes,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Truck Crops,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa, Almonds & Pistachios,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa, Other Deciduous,1998,2.50,300,750,,,,,,,,,,,,,,,,,,
Mariposa, Citrus & Subtropical,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mariposa,Vineyard,1998,2.00,200,400,,,,,,,,,,,,,,,,,,
Mendocino,Grain,1998,0.14,200,28.57142857,,,,,,,,,,,,,,,,,,
Mendocino,Rice,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino,Cotton,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino,Sugar Beets,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino,Corn,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino,Dry Beans,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino,Safflower,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino,Other Field,1998,2.13,100,213.3333333,,,,,,,,,,,,,,,,,,
Mendocino,Alfalfa,1998,3.23,200,646.1538462,,,,,,,,,,,,,,,,,,
Mendocino,Pasture,1998,4.05,7700,31166.43981,,,,,,,,,,,,,,,,,,
Mendocino,Tomato Processing,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino,Tomato Fresh,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Mendocino,Cucurbits,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
